kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,depth
2300529,002300529-01,122681901,FP,1,1,3,0.6379883182,208.89334330000003
2300529,002300529-02,122681901,FP,1,2,3,1.562671436,226.139787
2300529,002300529-03,122681901,FP,1,3,3,20.17856142,3567.3579640000003
2300603,002300603-01,122682036,FP,1,1,1,3.2513380869999997,98.66921191
2302548,002302548-01,137148674,PC,0,1,2,10.38121223,800.1689403
2302548,002302548-02,137148674,PC,0,2,2,24.57086061,684.2786658
2303102,002303102-01,137221444,FP,1,1,10,2.2988750280000003,31.117341200000002
2303102,002303102-02,137221444,FP,1,2,10,242.161051,650.8084472999999
2303102,002303102-03,137221444,FP,1,3,10,319.89419300000003,393.3752711
2303102,002303102-04,137221444,FP,1,4,10,434.46066449999995,576.7814047
2303102,002303102-05,137221444,FP,1,5,10,159.35826630000003,141.1847987
2303102,002303102-07,137221444,FP,1,7,10,139.966466,322.24190380000005
2303102,002303102-08,137221444,FP,1,8,10,148.5246228,297.7047415
2303102,002303102-09,137221444,FP,1,9,10,544.9085557,523.5737237
2303102,002303102-10,137221444,FP,1,10,10,480.4809813,309.8648896
2303365,002303365-01,137221310,FP,1,1,2,0.5206927025,82.16564677
2303365,002303365-02,137221310,FP,1,2,2,0.520696988,123.58245790000001
2304168,002304168-01,137315805,FP,1,1,2,342.3243042,631.6001102999999
2304168,002304168-02,137315805,FP,1,2,2,431.71885180000004,488.42192249999994
2304566,002304566-01,351055388,FP,1,1,1,0.6894795895999999,3.794207159
2304655,002304655-01,351055651,FP,1,1,1,0.5420602427000001,6.8903693310000005
2305543,002305543-01,137347686,FP,0,1,1,0.6811366158,104227.15199999999
2305866,002305866-01,137487105,PC,0,1,2,24.10739109,104.2409941
2305866,002305866-02,137487105,PC,0,2,2,115.2308009,154.7500681
2306463,002306463-01,137486947,FP,1,1,3,0.5136092154,6.671285478
2306463,002306463-02,137486947,FP,1,2,3,306.08567739999995,148.8710236
2306463,002306463-03,137486947,FP,1,3,3,163.8167451,174.7919009
2307415,002307415-01,137636895,PC,0,1,2,4.61265071,129.8367631
2307415,002307415-02,137636895,PC,0,2,2,13.12162308,196.58512240000002
2307533,002307533-01,137636938,FP,1,1,4,3.760695301,76.40151822
2307533,002307533-02,137636938,FP,1,2,4,444.7977081,123.5370006
2307533,002307533-03,137636938,FP,1,3,4,444.810634,299.74312480000003
2307533,002307533-04,137636938,FP,1,4,4,0.5374888918999999,25.57717957
2309579,002309579-01,137890355,FP,1,1,1,1.043673303,26.82556526
2309719,002309719-01,137890266,FP,0,1,1,54.356333299999996,10479.81526
2425057,002425057-01,121022681,FP,1,1,2,0.5705865095,246.72806830000002
2425057,002425057-02,121022681,FP,1,2,2,0.5705463493,8.982989323
2439211,002439211-01,122507229,FP,1,1,2,1.4314457680000001,124.63182179999998
2439211,002439211-02,122507229,FP,1,2,2,2.243162055,144.5253865
2441728,002441728-01,122782094,FP,0,1,1,0.8568904817,66.81779522
2442118,002442118-01,122782017,FP,1,1,4,1.221489126,6.915974049
2442118,002442118-02,122782017,FP,1,2,4,167.5842021,35.59889493
2442118,002442118-03,122782017,FP,1,3,4,192.71880339999998,73.22474852
2442118,002442118-04,122782017,FP,1,4,4,212.8671503,62.95684263
2443393,002443393-01,137149053,PC,0,1,1,73.70925085,133.1459618
2443827,002443827-01,137221250,FP,1,1,1,447.43186069999996,270.1672618
2444412,002444412-01,137316027,PC,0,1,1,14.911095600000001,864.053117
2444769,002444769-01,137316003,FP,1,1,7,3.001336906,16.14500688
2444769,002444769-02,137316003,FP,1,2,7,125.7748197,292.3746907
2444769,002444769-03,137316003,FP,1,3,7,102.07169870000001,149.86198190000002
2444769,002444769-05,137316003,FP,1,5,7,61.27607306,175.8613926
2444769,002444769-06,137316003,FP,1,6,7,63.55501533,161.97105369999997
2444769,002444769-07,137316003,FP,1,7,7,169.95906340000002,252.7053905
2445665,002445665-01,137348022,FP,1,1,1,500.23607130000005,166.21445680000002
2446436,002446436-01,137486740,FP,1,1,1,0.8004639664000001,328.38567610000007
2447832,002447832-01,137636800,FP,1,1,7,0.9213549734,15.09163867
2447832,002447832-02,137636800,FP,1,2,7,47.34694507,96.11290091
2447832,002447832-03,137636800,FP,1,3,7,181.3797352,433.19146969999997
2447832,002447832-04,137636800,FP,1,4,7,70.42365022,325.5082445
2447832,002447832-05,137636800,FP,1,5,7,204.9950917,455.85962209999997
2447832,002447832-06,137636800,FP,1,6,7,24.3913217,243.95510530000004
2447832,002447832-07,137636800,FP,1,7,7,43.68760403,292.7544514
2449407,002449407-01,137817552,FP,1,1,1,430.6612719,259.857272
2452450,002452450-01,138209350,FP,0,1,1,8.097059926,505.54493229999997
2452977,002452977-01,138209532,FP,1,1,1,413.22873419999996,111.6332725
2554867,002554867-01,120694120,FP,1,1,1,4.979340447,42.59707202
2555396,002555396-01,120762799,FP,1,1,1,40.9528858,2229.8709870000002
2555680,002555680-01,120824797,FP,1,1,9,0.5405217024,6.628429365
2555680,002555680-02,120824797,FP,1,2,9,27.79752838,185.7032481
2555680,002555680-03,120824797,FP,1,3,9,29.29322183,72.30283259
2555680,002555680-04,120824797,FP,1,4,9,20.546769,252.84370890000002
2555680,002555680-05,120824797,FP,1,5,9,29.19971037,229.167258
2555680,002555680-07,120824797,FP,1,7,9,26.16779025,244.7463716
2555680,002555680-08,120824797,FP,1,8,9,17.46853572,171.8906632
2555680,002555680-09,120824797,FP,1,9,9,31.08671458,197.99457180000002
2556650,002556650-01,120963454,PC,0,1,1,2.8523530239999997,1348.184793
2557350,002557350-01,120970827,PC,0,1,1,3.098747882,246.2157298
2557430,002557430-01,121022559,FP,0,1,2,1.2977445090000002,38390.40177
2557430,002557430-02,121022559,FP,1,2,2,1.297736506,8442.781405
2558273,002558273-01,121083753,FP,1,1,1,0.9808642163,22.77001119
2558488,002558488-01,121126771,FP,1,1,4,1.287919198,23.8075653
2558488,002558488-02,121126771,FP,1,2,4,218.2097863,230.434041
2558488,002558488-03,121126771,FP,1,3,4,209.5626493,208.9571878
2558488,002558488-04,121126771,FP,1,4,4,111.5907236,241.01646490000002
2568519,002568519-01,122223391,FP,1,1,2,0.9169204223,8.736074105
2568519,002568519-02,122223391,FP,1,2,2,111.0945307,190.95455090000002
2568971,002568971-01,122223312,FP,1,1,5,5.08857483,202.88467169999998
2568971,002568971-02,122223312,FP,1,2,5,5.088709888,76.85910851
2568971,002568971-03,122223312,FP,1,3,5,0.8481589320999999,35.87802945
2568971,002568971-05,122223312,FP,1,5,5,1.271904882,45.31537721
2569516,002569516-01,122364060,FP,1,1,1,45.582710299999995,77.11864464
2569639,002569639-01,122306148,FP,1,1,1,6.715580779,13.31780843
2570767,002570767-01,122375154,FP,0,1,1,1.891211849,26.58648782
2571238,002571238-01,122375047,PC,0,1,1,9.286973952,688.4101628999999
2571417,002571417-01,122452250,FP,1,1,2,3.778177167,41.51649104
2571417,002571417-02,122452250,FP,1,2,2,3.778152964,45.36156048
2571868,002571868-01,122452155,FP,1,1,1,1.3235703840000002,68.59154512
2573108,002573108-01,122671871,FP,1,1,1,5.092230133999999,16.97571658
2574201,002574201-01,122781802,FP,0,1,1,37.47861164,1225.796278
2574960,002574960-01,137096454,FP,1,1,1,1.5776472519999998,10.22350865
2576224,002576224-01,137220955,FP,1,1,2,1.6291765969999998,0.103272222
2576224,002576224-02,137220955,FP,1,2,2,1.629085439,14.21813116
2576692,002576692-01,137316195,FP,0,1,6,87.87969258,343541.3419
2576692,002576692-02,137316195,FP,1,2,6,87.87728124,279491.5776
2576692,002576692-03,137316195,FP,1,3,6,87.87893172,5178.864613000001
2576692,002576692-04,137316195,FP,1,4,6,338.4459202,303.83534439999994
2576692,002576692-05,137316195,FP,1,5,6,349.2850262,120.2316084
2576692,002576692-06,137316195,FP,1,6,6,354.9676829,173.81556930000002
2578077,002578077-01,137348383,FP,1,1,2,1.879106266,8.904035692999999
2578077,002578077-02,137348383,FP,1,2,2,1.878546869,18.221328200000002
2578404,002578404-01,137348305,FP,1,1,2,2.346634847,85.5461665
2578404,002578404-02,137348305,FP,1,2,2,0.8722675654000001,226.805208
2578891,002578891-01,137486455,FP,1,1,1,2.327324393,5.14662217
2579906,002579906-01,137547758,FP,1,1,10,0.6407592427000001,8.974568154
2579906,002579906-02,137547758,FP,1,2,10,34.07561741,211.3996551
2579906,002579906-03,137547758,FP,1,3,10,25.55140471,297.66216180000004
2579906,002579906-04,137547758,FP,1,4,10,15.50454372,195.1175428
2579906,002579906-05,137547758,FP,1,5,10,29.64592755,0.6763472490000001
2579906,002579906-07,137547758,FP,1,7,10,14.34717655,259.2530731
2579906,002579906-08,137547758,FP,1,8,10,13.56946304,210.51039649999998
2579906,002579906-09,137547758,FP,1,9,10,32.8047963,293.8472898
2579906,002579906-10,137547758,FP,1,10,10,22.632171399999997,107.56273440000001
2580613,002580613-01,137636494,FP,1,1,1,6.012301616,13.73734462
2581316,002581316-01,137685450,PC,0,1,2,217.83183369999998,9195.71911
2581316,002581316-02,137685450,PC,0,2,2,10.5141492,78.01470863
2581554,002581554-01,137817355,PC,0,1,1,47.148488799999996,1118.230578
2581674,002581674-01,137817307,FP,1,1,3,0.6952468636,20.98704443
2581674,002581674-02,137817307,FP,1,2,3,54.07958105,209.00341540000002
2581674,002581674-03,137817307,FP,1,3,3,168.45525609999999,272.28747200000004
