,kic,tic,tess_light_curves
10663,10395652,158561770,0
10664,10395652,158561770,0
10665,10395652,158561770,0
10666,10396960,158731429,0
10667,10398088,158983931,0
10668,10398088,158983931,0
10669,10398088,158983931,0
10670,10398088,158983931,0
10671,10398659,159051954,0
10672,10398659,159051954,0
10673,10398659,159051954,0
10674,10399321,159052932,0
10675,10403228,159643660,0
10676,10403228,159643660,0
10677,10403228,159643660,0
10678,10403889,159727435,0
10679,10405019,63070824,0
10680,10405019,63070824,0
10681,10407020,63454512,0
10682,10407086,63454618,0
10683,10407191,63454505,0
10684,10407210,63454575,0
10685,10407210,63454575,0
10686,10407210,63454575,0
10687,10407464,240177337,0
10688,10407464,240177337,0
10689,10411796,271167638,0
10690,10412044,271252205,0
10691,10412044,271252205,0
10692,10412044,271252205,0
10693,10412044,271252205,0
10694,10412044,271252205,0
10695,10412044,271252205,0
10696,10414727,271878008,0
10697,10414727,271878008,0
10698,10414727,271878008,0
10699,10414727,271878008,0
10700,10414727,271878008,0
10701,10414727,271878008,0
10702,10414727,271878008,0
10703,10414727,271878008,0
10704,10414727,271878008,0
10705,10414727,271878008,0
10706,10415087,271878019,0
10707,10415087,271878019,0
10708,10416779,272281445,0
10709,10416779,272281445,0
10710,10416779,272281445,0
10711,10416779,272281445,0
10712,10416779,272281445,0
10713,10421688,273376782,0
10714,10424228,274200278,0
10715,10424228,274200278,0
10716,10424977,268057593,0
10717,10427700,269026108,0
10718,10427700,269026108,0
10719,10427996,269026204,0
10720,10427996,269026204,0
10721,10427996,269026204,0
10722,10448377,123205973,0
10723,10448764,123206402,0
10724,10448764,123206402,0
10725,10448764,123206402,0
10726,10449486,123358251,0
10727,10450536,123446023,0
10728,10450536,123446023,0
10729,10450536,123446023,0
10730,10450536,123446023,0
10731,10450536,123446023,0
10732,10450889,123446528,0
10733,10451090,123494120,0
10734,10451317,123494633,0
10735,10451317,123494633,0
10736,10452252,164456518,0
10737,10452252,164456518,0
10738,10452252,164456518,0
10739,10452252,164456518,0
10740,10452252,164456518,0
10741,10452252,164456518,0
10742,10452252,164456518,0
10743,10453588,164557694,0
10744,10454632,164723619,0
10745,10461045,158561958,0
10746,10462462,158785433,0
10747,10462980,158839281,0
10748,10462980,158839281,0
10749,10464666,159052833,0
10750,10464666,159052833,0
10751,10467815,159516449,0
10752,10467815,159516449,0
10753,10467815,159516449,0
10754,10467815,159516449,0
10755,10468794,159643566,0
10756,10468794,159643566,0
10757,10469984,62916522,0
10758,10470294,63070019,0
10759,10470294,63070019,0
10760,10470294,63070019,0
10761,10470294,63070019,0
10762,10470294,63070019,0
10763,10470294,63070019,0
10764,10470294,63070019,0
10765,10470309,63070018,0
10766,10470309,63070018,0
10767,10470309,63070018,0
10768,10470616,63070650,0
10769,10471515,63204326,0
10770,10471914,63291372,0
10771,10471914,63291372,0
10772,10471914,63291372,0
10773,10471960,63291368,0
10774,10471960,63291368,0
10775,10471960,63291368,0
10776,10471960,63291368,0
10777,10471960,63291368,0
10778,10471960,63291368,0
10779,10471960,63291368,0
10780,10472431,63454660,0
10781,10473003,240177126,0
10782,10480952,271877841,1
10783,10480952,271877841,1
10784,10481462,272079853,0
10785,10481462,272079853,0
10786,10482387,272279996,0
10787,10482387,272279996,0
10788,10482387,272279996,0
10789,10482387,272279996,0
10790,10482774,272281117,0
10791,10482774,272281117,0
10792,10482774,272281117,0
10793,10482774,272281117,0
10794,10482774,272281117,0
10795,10482774,272281117,0
10796,10482774,272281117,0
10797,10482774,272281117,0
10798,10483436,272598185,2
10799,10483436,272598185,2
10800,10483436,272598185,2
10801,10483436,272598185,2
10802,10483436,272598185,2
10803,10483436,272598185,2
10804,10483436,272598185,2
10805,10483436,272598185,2
10806,10484808,272841891,0
10807,10484808,272841891,0
10808,10484808,272841891,0
10809,10484817,272841966,0
10810,10485840,273048119,0
10811,10486425,273375249,0
10812,10486425,273375249,0
10813,10488450,273681868,0
10814,10489019,273873739,0
10815,10489206,273873718,0
10816,10489206,273873718,0
10817,10489286,273875142,0
10818,10489373,273875361,0
10819,10489525,273875197,0
10820,10489539,273875270,2
10821,10490558,268057406,0
10822,10491525,268382815,0
10823,10492985,268706442,0
10824,10514430,123310053,0
10825,10514430,123310053,0
10826,10514430,123310053,0
10827,10514430,123310053,0
10828,10514430,123310053,0
10829,10514430,123310053,0
10830,10514430,123310053,0
10831,10514430,123310053,0
10832,10514966,123358704,0
10833,10515986,123446488,0
10834,10516986,164456199,0
10835,10516986,164456199,0
10836,10518725,164658358,0
10837,10518725,164658358,0
10838,10519701,164723521,0
10839,10521496,351908154,0
10840,10521496,351908154,0
10841,10525027,158489095,0
10842,10525592,158489581,0
10843,10525592,158489581,0
10844,10526648,158662820,0
10845,10526648,158662820,0
10846,10526648,158662820,0
10847,10526648,158662820,0
10848,10527187,158731728,0
10849,10528068,158839841,0
10850,10528873,158984830,0
10851,10529091,159052209,0
10852,10529091,159052209,0
10853,10531955,159393734,0
10854,10532771,159516315,0
10855,10532771,159516315,0
10856,10533233,159642743,0
10857,10533616,159643290,0
10858,10533616,159643290,0
10859,10533616,159643290,0
10860,10533616,159643290,0
10861,10533616,159643290,0
10862,10534150,159727235,0
10863,10534150,159727235,0
10864,10534150,159727235,0
10865,10534150,159727235,0
10866,10534150,159727235,0
10867,10534155,159727191,0
10868,10534155,159727191,0
10869,10535858,63203677,0
10870,10535858,63203677,0
10871,10535858,63203677,0
10872,10535858,63203677,0
10873,10535858,63203677,0
10874,10535858,63203677,0
10875,10535886,63203670,0
10876,10535937,63203603,0
10877,10536761,63291536,0
10878,10536761,63291536,0
10879,10536761,63291536,0
10880,10536761,63291536,0
10881,10536761,63291536,0
10882,10536761,63291536,0
10883,10537528,63454855,0
10884,10537528,63454855,0
10885,10537528,63454855,0
10886,10537907,240177099,0
10887,10537907,240177099,0
10888,10537907,240177099,0
10889,10537907,240177099,0
10890,10538178,275486931,0
10891,10538178,275486931,0
10892,10538299,275486924,0
10893,10538713,275577761,0
10894,10547352,272280987,0
10895,10548508,272841049,0
10896,10548640,272840905,0
10897,10548640,272840905,0
10898,10548640,272840905,0
10899,10548640,272840905,0
10900,10548640,272840905,0
10901,10548640,272840905,0
10902,10549292,272841715,0
10903,10549371,272841831,0
10904,10549422,272841736,0
10905,10549422,272841736,0
10906,10549576,272841759,0
10907,10549576,272841759,0
10908,10549643,273046987,0
10909,10549924,273047049,0
10910,10550657,273048064,0
10911,10552611,273681580,0
10912,10552611,273681580,0
10913,10552700,273681486,0
10914,10552700,273681486,0
10915,10552700,273681486,0
10916,10552700,273681486,0
10917,10552700,273681486,0
10918,10552700,273681486,0
10919,10552700,273681486,0
10920,10552700,273681486,0
10921,10552700,273681486,0
10922,10552700,273681486,0
10923,10555142,268057181,0
10924,10555667,268383101,0
10925,10556064,268384110,0
10926,10556064,268384110,0
10927,10556064,268384110,0
10928,10580834,123446413,0
10929,10580834,123446413,0
10930,10581918,164456217,0
10931,10581918,164456217,0
10932,10583181,164557531,4
10933,10586004,164999822,0
10934,10586004,164999822,0
10935,10589849,158489141,0
10936,10590857,158562326,0
10937,10590857,158562326,0
10938,10590887,158562423,0
10939,10593239,158984345,0
10940,10593626,158984573,0
10941,10598894,159727043,0
10942,10599193,159727081,0
10943,10599575,62916267,0
10944,10600540,63203738,0
10945,10600540,63203738,0
10946,10601538,63291682,0
10947,10601549,63291671,0
10948,10601549,63291671,0
10949,10601579,63291675,0
10950,10602324,63455068,0
10951,10602324,63455068,0
10952,10604429,270695178,0
10953,10604747,270695577,0
10954,10604747,270695577,0
10955,10609641,271877060,0
10956,10613718,272841223,0
10957,10614770,273047339,0
10958,10615125,273047330,0
10959,10615125,273047330,0
10960,10615440,273047792,0
10961,10616124,273375593,0
10962,10616571,273376221,0
10963,10616571,273376221,0
10964,10616571,273376221,0
10965,10616656,273376048,1
10966,10616656,273376048,1
10967,10617017,28230581,0
10968,10617362,273596311,0
10969,10618078,273681319,0
10970,10618078,273681319,0
10971,10618471,273874375,0
10972,10620329,268056989,0
10973,10620329,268056989,0
10974,10620329,268056989,0
10975,10645230,123358491,0
10976,10645230,123358491,0
10977,10646620,123446316,0
