,kic,TCE_ID,tic,disposition,not_transit,pn,n_plan,period,target_pixel_files
4278,6307077,006307077-03,169819994,FP,1,3,4,300.09582830000005,0
4279,6307077,006307077-04,169819994,FP,1,4,4,554.8120211,0
4280,6307083,006307083-01,169819920,FP,0,1,3,75.37930871,0
4281,6307083,006307083-02,169819920,FP,1,2,3,75.37892637,0
4282,6307083,006307083-03,169819920,PC,0,3,3,3.177973302,0
4283,6308036,006308036-01,169821929,FP,1,1,1,426.4562255,0
4284,6308708,006308708-01,170248032,FP,1,1,3,548.9084386,0
4285,6308708,006308708-02,170248032,FP,1,2,3,444.5132777,0
4286,6308708,006308708-03,170248032,FP,1,3,3,544.490119,0
4287,6309129,006309129-01,170252073,FP,1,1,3,6.215681881,0
4288,6309129,006309129-02,170252073,FP,1,2,3,6.2159988089999985,0
4289,6309129,006309129-03,170252073,FP,1,3,3,6.217500697,0
4290,6310397,006310397-01,170733094,FP,1,1,6,0.8631821153,0
4291,6310397,006310397-02,170733094,FP,1,2,6,0.8749729423,0
4292,6310397,006310397-03,170733094,FP,1,3,6,41.32863592,0
4293,6310397,006310397-04,170733094,FP,1,4,6,23.26566676,0
4294,6310397,006310397-05,170733094,FP,1,5,6,12.33694495,0
4295,6310397,006310397-06,170733094,FP,1,6,6,9.439659692000001,0
4296,6310627,006310627-01,170733039,FP,1,1,1,419.2451987,0
4297,6311564,006311564-01,171094126,FP,1,1,1,1.391406866,0
4298,6311637,006311637-01,171094123,FP,0,1,1,1.6208028630000002,0
4299,6312643,006312643-01,171509117,FP,1,1,2,0.7101466767,0
4300,6312643,006312643-02,171509117,FP,1,2,2,94.3924564,0
4301,6314137,006314137-01,171968149,FP,1,1,1,438.40001889999985,0
4302,6341932,006341932-01,390206800,FP,1,1,2,1.455363577,0
4303,6341932,006341932-02,390206800,FP,1,2,2,0.7277467191,0
4304,6342398,006342398-01,377730938,FP,1,1,7,1.310332403,0
4305,6342398,006342398-02,377730938,FP,1,2,7,163.03663400000005,0
4306,6342398,006342398-03,377730938,FP,1,3,7,91.27867894,0
4307,6342398,006342398-04,377730938,FP,1,4,7,75.366528,0
4308,6342398,006342398-05,377730938,FP,1,5,7,55.63077327,0
4309,6342398,006342398-06,377730938,FP,1,6,7,234.5364017,0
4310,6342398,006342398-07,377730938,FP,1,7,7,117.7905103,0
4311,6346698,006346698-01,120421270,FP,1,1,7,1.220220904,0
4312,6346698,006346698-02,120421270,FP,1,2,7,266.3147394,0
4313,6346698,006346698-03,120421270,FP,1,3,7,433.147881,0
4314,6346698,006346698-04,120421270,FP,1,4,7,534.2619238,0
4315,6346698,006346698-05,120421270,FP,1,5,7,83.64027115,0
4316,6346698,006346698-06,120421270,FP,1,6,7,1.220382076,0
4317,6347470,006347470-01,120495450,FP,1,1,1,329.3938259,0
4318,6351285,006351285-01,121114506,FP,1,1,1,427.7655463,0
4319,6356627,006356627-01,121944673,FP,1,1,2,4.208754274,0
